Afghanistan,1,-3.78,201.42,0,0
Albania,2,2.17,704.46,1,0
Algeria,2,-13.99,1048.98,1,0
Andorra,2,-0.63,60.6,1,0
Angola,1,-6.01,111.22,0,0
Antigua and Barbuda,1,-0.02,0.48,0,0
Argentina,1,-116.15,7468.82,0,0
Armenia,1,-18.43,1251.68,0,0
"Australian Capital Territory, Australia",1,-0.01,0.17,0,0
"New South Wales, Australia",1,-0.03,5.7,0,0
"Northern Territory, Australia",1,0.06,0.61,0,0
"Queensland, Australia",1,0.04,1.18,0,0
"South Australia, Australia",1,-0.1,1.0,0,0
"Tasmania, Australia",2,0.0,-0.0,1,0
"Victoria, Australia",1,0.0,-0.0,0,1
"Western Australia, Australia",1,-0.09,2.38,0,0
Austria,1,-200.94,5284.05,0,0
Azerbaijan,1,112.7,3190.38,0,0
Bahamas,3,-1.25,18.66,1,0
Bahrain,2,1.27,148.11,1,0
Bangladesh,3,-2.55,2181.8,1,0
Barbados,2,0.02,1.91,1,0
Belarus,3,22.78,1517.65,1,0
Belgium,1,-65.4,2789.35,0,0
Belize,1,19.95,71.8,0,0
Benin,2,0.35,8.48,1,0
Bhutan,0,0.27,2.01,0,0
Bolivia,3,2.72,97.3,1,0
Bosnia and Herzegovina,1,-9.08,1098.75,0,0
Botswana,1,4.9,112.49,0,0
Brazil,4,954.03,33274.01,1,0
Brunei,1,-0.01,0.21,0,0
Bulgaria,1,-56.55,3125.13,0,0
Burkina Faso,3,2.94,17.53,1,0
Burma,2,-7.1,1470.02,1,0
Burundi,1,-0.32,4.27,0,0
Cabo Verde,6,-1.8,66.49,1,0
Cambodia,1,0.34,1.29,0,0
Cameroon,0,-5.37,113.0,0,0
"Alberta, Canada",2,44.32,1294.33,1,0
"British Columbia, Canada",1,5.4,707.17,0,0
"Diamond Princess, Canada",1,0.0,0.0,0,1
"Grand Princess, Canada",1,-0.0,0.0,0,1
"Manitoba, Canada",1,-5.77,395.69,0,0
"New Brunswick, Canada",3,-0.29,9.41,1,0
"Newfoundland and Labrador, Canada",1,-0.05,2.5,0,0
"Northwest Territories, Canada",1,-0.0,0.0,0,1
"Nova Scotia, Canada",1,0.37,11.41,0,0
"Nunavut, Canada",1,-0.66,10.73,0,0
"Ontario, Canada",4,34.64,1497.19,1,0
"Prince Edward Island, Canada",2,0.05,0.25,1,0
"Quebec, Canada",4,26.47,1226.31,1,0
"Repatriated Travellers, Canada",1,-0.1,1.18,0,1
"Saskatchewan, Canada",1,4.54,236.39,0,0
"Yukon, Canada",1,-0.05,1.83,0,0
Central African Republic,2,-0.04,1.08,1,0
Chad,1,0.1,5.96,0,0
Chile,1,6.48,1370.81,0,0
"Anhui, China",0,-0.0,0.0,0,1
"Beijing, China",1,-0.01,0.29,0,0
"Chongqing, China",0,-0.01,0.05,0,1
"Fujian, China",0,-0.05,2.05,0,0
"Gansu, China",1,0.0,0.06,0,0
"Guangdong, China",0,0.02,1.56,0,0
"Guangxi, China",0,-0.03,0.2,0,0
"Guizhou, China",0,-0.0,0.0,0,1
"Hainan, China",0,0.0,-0.0,0,1
"Hebei, China",0,0.0,-0.0,0,1
"Heilongjiang, China",1,0.0,-0.0,0,1
"Henan, China",0,0.06,0.12,0,0
"Hong Kong, China",2,4.71,62.56,1,0
"Hubei, China",0,0.01,0.01,0,0
"Hunan, China",0,-0.0,0.0,0,1
"Inner Mongolia, China",0,0.07,1.42,0,0
"Jiangsu, China",0,-0.03,0.27,0,0
"Jiangxi, China",0,0.0,-0.0,0,1
"Jilin, China",1,0.0,-0.0,0,1
"Liaoning, China",1,-0.01,0.03,0,1
"Macau, China",1,0.0,-0.0,0,1
"Ningxia, China",0,0.0,-0.0,0,1
"Qinghai, China",0,-0.0,0.0,0,1
"Shaanxi, China",0,-0.05,0.97,0,0
"Shandong, China",0,0.07,0.28,0,0
"Shanghai, China",1,0.04,3.8,0,0
"Shanxi, China",1,0.01,0.07,0,0
"Sichuan, China",0,0.01,1.0,0,0
"Tianjin, China",1,-0.1,0.79,0,0
"Tibet, China",0,0.0,0.0,0,1
"Xinjiang, China",1,-0.0,0.0,0,1
"Yunnan, China",0,0.02,0.11,0,0
"Zhejiang, China",0,-0.02,0.21,0,0
Colombia,4,144.22,7974.44,1,0
Comoros,2,-0.16,2.13,1,0
Congo (Brazzaville),2,-1.18,17.77,1,0
Congo (Kinshasa),3,4.76,66.84,1,0
Costa Rica,3,-14.84,1054.95,1,0
Cote d'Ivoire,1,0.43,22.26,0,0
Croatia,2,43.36,3132.6,1,0
Cuba,4,3.18,47.81,1,0
Cyprus,3,3.95,242.44,1,0
Czechia,1,-67.65,4240.63,0,0
"Faroe Islands, Denmark",2,0.05,0.32,1,0
"Greenland, Denmark",1,-0.0,0.0,0,0
Denmark,2,30.12,1226.61,1,0
Diamond Princess,0,0.0,-0.0,0,1
Djibouti,2,0.07,1.84,1,0
Dominica,2,-0.07,1.31,1,0
Dominican Republic,3,6.93,692.11,1,0
Ecuador,2,16.08,848.22,1,0
Egypt,1,5.09,355.08,0,0
El Salvador,3,6.32,145.17,1,0
Equatorial Guinea,1,-0.19,3.15,0,0
Eritrea,2,0.23,4.75,1,0
Estonia,1,8.61,321.72,0,0
Eswatini,3,-0.38,22.91,1,0
Ethiopia,1,7.5,493.94,0,0
Fiji,1,0.04,0.4,0,0
Finland,1,5.11,408.23,0,0
"French Guiana, France",1,0.45,24.63,0,0
"French Polynesia, France",2,-2.4,159.29,1,0
"Guadeloupe, France",1,-0.64,16.45,0,0
"Martinique, France",1,-3.97,64.17,0,0
"Mayotte, France",2,-2.05,18.07,1,0
"New Caledonia, France",1,0.01,0.22,0,0
"Reunion, France",2,-3.47,65.63,1,0
"Saint Barthelemy, France",2,0.03,1.62,1,0
"Saint Pierre and Miquelon, France",1,0.0,0.0,0,1
"St Martin, France",3,-0.06,2.76,1,0
France,1,-718.98,15052.29,0,0
Gabon,3,-0.12,9.53,1,0
Gambia,1,0.19,2.97,0,0
Georgia,2,59.09,3773.58,1,0
Germany,1,24.11,18179.85,0,0
Ghana,2,0.73,90.32,1,0
Greece,1,-59.83,2090.37,0,0
Grenada,2,-0.09,0.58,1,0
Guatemala,1,-1.75,516.44,0,0
Guinea,4,-0.59,33.58,1,0
Guinea-Bissau,1,0.16,0.83,0,0
Guyana,2,-0.1,39.83,1,0
Haiti,1,0.63,7.38,0,0
Holy See,1,0.0,-0.0,0,1
Honduras,3,9.86,375.27,1,0
Hungary,2,119.02,4742.86,1,0
Iceland,3,0.3,13.55,1,0
India,2,-706.31,42615.71,1,0
Indonesia,3,123.43,4882.85,1,0
Iran,1,7.64,13370.02,0,0
Iraq,4,-26.07,2198.35,1,0
Ireland,2,-4.19,293.51,1,0
Israel,1,40.36,869.34,0,0
Italy,1,-909.04,28426.1,0,0
Jamaica,2,-0.57,61.58,1,0
Japan,2,12.06,2117.61,1,0
Jordan,1,-140.19,4896.81,0,0
Kazakhstan,1,4.35,908.61,0,0
Kenya,2,-17.17,927.84,1,0
"Korea, South",3,16.17,406.51,1,0
Kosovo,1,-23.34,703.29,0,0
Kuwait,1,-12.69,381.81,0,0
Kyrgyzstan,1,-4.5,424.88,0,0
Laos,2,-0.15,1.35,1,0
Latvia,2,19.23,480.6,1,0
Lebanon,3,-13.3,1536.47,1,0
Lesotho,3,-0.05,5.6,1,0
Liberia,1,0.46,6.49,0,0
Libya,3,0.57,614.52,1,0
Liechtenstein,1,-0.23,20.33,0,0
Lithuania,2,22.04,1832.66,1,0
Luxembourg,2,-3.35,522.11,1,0
MS Zaandam,1,-0.0,0.0,0,1
Madagascar,1,1.89,3.75,0,0
Malawi,2,-0.13,3.89,1,0
Malaysia,3,-4.76,1254.13,1,0
Maldives,2,-2.84,53.85,1,0
Mali,1,0.27,57.16,0,0
Malta,1,-1.11,122.28,0,0
Marshall Islands,2,-0.02,0.09,1,1
Mauritania,2,8.87,45.29,1,0
Mauritius,1,0.04,0.85,0,0
Mexico,2,310.49,7813.55,1,0
Moldova,2,11.25,1286.83,1,0
Monaco,1,-0.02,4.19,0,0
Mongolia,2,-1.82,26.73,1,0
Montenegro,1,-4.38,538.93,0,0
Morocco,2,-48.69,4258.89,1,0
Mozambique,1,-1.07,88.92,0,0
Namibia,1,3.78,61.01,0,0
Nepal,1,-35.89,1678.21,0,0
"Aruba, Netherlands",1,0.63,13.8,0,0
"Bonaire, Sint Eustatius and Saba, Netherlands",1,-0.02,0.48,0,0
"Curacao, Netherlands",1,4.35,74.25,0,0
"Sint Maarten, Netherlands",1,0.05,9.22,0,0
Netherlands,1,6.21,5084.06,0,0
New Zealand,1,-0.06,4.05,0,0
Nicaragua,1,-0.17,8.47,0,0
Niger,2,2.87,16.28,1,0
Nigeria,2,6.26,164.26,1,0
North Macedonia,1,-12.86,1044.57,0,0
Norway,1,-19.98,508.34,0,0
Oman,0,0.43,206.33,0,0
Pakistan,1,28.85,2868.03,0,0
Panama,1,53.63,1312.9,0,0
Papua New Guinea,1,-0.06,4.49,0,0
Paraguay,3,12.56,752.12,1,0
Peru,2,-14.35,1826.07,1,0
Philippines,1,-7.53,1564.01,0,0
Poland,1,-856.61,19115.04,0,0
Portugal,1,-141.38,5193.99,0,0
Qatar,2,-1.23,201.53,1,0
Romania,1,-194.62,7859.32,0,0
Russia,3,283.52,24523.21,1,0
Rwanda,1,-0.5,33.66,0,0
Saint Kitts and Nevis,1,0.0,0.26,0,0
Saint Lucia,1,-0.47,6.22,0,0
Saint Vincent and the Grenadines,4,-0.01,0.3,1,0
Samoa,1,-0.01,0.12,0,0
San Marino,4,0.78,23.5,1,0
Sao Tome and Principe,2,-0.05,1.93,1,0
Saudi Arabia,1,-3.67,269.05,0,0
Senegal,4,3.48,19.88,1,0
Serbia,1,126.02,6371.67,0,0
Seychelles,1,0.06,1.29,0,0
Sierra Leone,1,-0.03,1.53,0,0
Singapore,1,-0.02,7.07,0,0
Slovakia,1,19.71,1370.41,0,0
Slovenia,1,1.89,1479.32,0,0
Solomon Islands,2,-0.01,0.09,1,1
Somalia,4,-0.26,9.78,1,0
South Africa,1,98.31,2716.12,0,0
South Sudan,1,0.26,7.81,0,0
Spain,2,-362.39,10709.9,1,0
Sri Lanka,2,16.72,456.18,1,0
Sudan,2,5.07,213.26,1,0
Suriname,2,-0.14,2.94,1,0
Sweden,1,13.49,4967.0,0,0
Switzerland,1,-56.51,4032.57,0,0
Syria,1,0.8,79.94,0,0
Taiwan*,1,0.49,4.14,0,0
Tajikistan,2,-0.13,38.88,1,0
Tanzania,1,-0.0,0.0,0,1
Thailand,1,0.72,9.2,0,0
Timor-Leste,1,0.01,0.01,0,0
Togo,2,-0.37,19.84,1,0
Trinidad and Tobago,2,-2.89,42.96,1,0
Tunisia,2,-3.56,1134.0,1,0
Turkey,1,2293.58,14703.78,0,0
US,1,1642.71,168533.53,0,0
Uganda,4,4.78,303.34,1,0
Ukraine,2,28.75,13718.27,1,0
United Arab Emirates,5,2.24,1239.83,1,0
"Anguilla, United Kingdom",2,0.02,0.16,1,0
"Bermuda, United Kingdom",3,0.36,2.35,1,0
"British Virgin Islands, United Kingdom",1,0.01,0.02,0,0
"Cayman Islands, United Kingdom",2,0.08,1.58,1,0
"Channel Islands, United Kingdom",1,3.68,16.78,0,0
"Falkland Islands (Malvinas), United Kingdom",1,0.0,0.07,0,0
"Gibraltar, United Kingdom",4,-0.29,8.3,1,0
"Isle of Man, United Kingdom",1,-0.05,0.43,0,0
"Montserrat, United Kingdom",1,-0.0,0.0,0,1
"Turks and Caicos Islands, United Kingdom",1,-0.24,2.49,0,0
United Kingdom,1,-357.5,17147.34,0,0
Uruguay,1,10.72,120.7,0,0
Uzbekistan,3,-3.51,190.12,1,0
Vanuatu,1,0.0,0.0,0,1
Venezuela,1,-0.77,339.91,0,0
Vietnam,1,-0.05,4.4,0,0
West Bank and Gaza,1,54.76,1588.87,0,0
Yemen,2,1.41,7.61,1,0
Zambia,1,0.55,31.36,0,0
Zimbabwe,2,4.79,78.87,1,0
total,0,1671,589140,107,29
